code,treatment,pipelines,rows,amount,send_amount,receive_amount,description,reason
24F,candidate-directed,send + receive,79,1376333.0,0.0,1140079.0,Communication cost for candidate (only for Form 7 filer),"OTHER_ID is a CANDIDATE, not a committee. Feeds BOTH pipelines: send attributes from the paying committee's catcode, and receive attributes from the recipient candidate's congressional committee seats. 98.2% of these rows (matched by SUB_ID) also appear in fec_pac_to_cand_current, which supplies most candidate money; the cross-source dedupe removes the overlap."
24N,candidate-directed,send + receive,17,0.0,0.0,0.0,Communication cost against candidate (only for Form 7 filer),"OTHER_ID is a CANDIDATE, not a committee. Feeds BOTH pipelines: send attributes from the paying committee's catcode, and receive attributes from the recipient candidate's congressional committee seats. 98.2% of these rows (matched by SUB_ID) also appear in fec_pac_to_cand_current, which supplies most candidate money; the cross-source dedupe removes the overlap."
32J,excluded,neither,2434,64386025.0,0.0,0.0,"Recount Account - Memo - Recipient committee's percentage of contributions from an individual, partnership or limited liability company given to joint fundraising committee",Memo row: a joint-fundraising committee's percentage allocation of a receipt that is also reported as its own transaction elsewhere. Including it double-counts.
42,excluded,neither,1677,53277197.0,0.0,0.0,Recount Account disbursement,"OTHER_ID is null on these rows -- the counterparty is an individual, a vendor or an unregistered entity, so neither side of the transfer can be resolved."
18J,excluded,neither,7905,40593603.0,0.0,0.0,Memo - Recipient committee's percentage of contribution from a registered committee given to joint fundraising committee,Memo row: a joint-fundraising committee's percentage allocation of a receipt that is also reported as its own transaction elsewhere. Including it double-counts.
31J,excluded,neither,943,37656221.0,0.0,0.0,"Headquarters Account - Memo - Recipient committee's percentage of contributions from an individual, partnership or limited liability company given to joint fundraising committee",Memo row: a joint-fundraising committee's percentage allocation of a receipt that is also reported as its own transaction elsewhere. Including it double-counts.
32F,excluded,neither,73,3692383.0,0.0,0.0,Recount Account - Memo - Recipient committee's percentage of contributions from a registered committee given to joint fundraising committee,Memo row: a joint-fundraising committee's percentage allocation of a receipt that is also reported as its own transaction elsewhere. Including it double-counts.
30J,excluded,neither,46,2946115.0,0.0,0.0,"Convention Account - Memo - Recipient committee's percentage of contributions from an individual, partnership or limited liability company given to joint fundraising committee",Memo row: a joint-fundraising committee's percentage allocation of a receipt that is also reported as its own transaction elsewhere. Including it double-counts.
31F,excluded,neither,64,1811954.0,0.0,0.0,Headquarters Account - Memo - Recipient committee's percentage of contributions from a registered committee given to joint fundraising committee,Memo row: a joint-fundraising committee's percentage allocation of a receipt that is also reported as its own transaction elsewhere. Including it double-counts.
11J,excluded,neither,215,916218.0,0.0,0.0,Memo - Recipient committee's percentage of contribution from Native American Tribe given to joint fundraising committee,Memo row: a joint-fundraising committee's percentage allocation of a receipt that is also reported as its own transaction elsewhere. Including it double-counts.
30F,excluded,neither,2,85000.0,0.0,0.0,Convention Account - Memo - Recipient committee's percentage of contributions from a registered committee given to joint fundraising committee,Memo row: a joint-fundraising committee's percentage allocation of a receipt that is also reported as its own transaction elsewhere. Including it double-counts.
42Z,excluded,neither,5,52317.0,0.0,0.0,Recount Account refund to registered filer,Recount-account refund; negligible volume and not a contribution.
41,excluded,neither,8,45663.0,0.0,0.0,Headquarters Account disbursement,"OTHER_ID is null on these rows -- the counterparty is an individual, a vendor or an unregistered entity, so neither side of the transfer can be resolved."
40,excluded,neither,1,45000.0,0.0,0.0,Convention Account disbursement,"OTHER_ID is null on these rows -- the counterparty is an individual, a vendor or an unregistered entity, so neither side of the transfer can be resolved."
24R,excluded,neither,1,2968.0,0.0,0.0,Election recount disbursement,"Recount disbursement, not a contribution to a committee."
15J,excluded,neither,7054928,,0.0,0.0,"Memo - Recipient committee's percentage of contribution from an individual, partnership or limited liability company given to joint fundraising committee",Memo row: a joint-fundraising committee's percentage allocation of a receipt that is also reported as its own transaction elsewhere. Including it double-counts. 96.5% of the table; excluded in SQL at extraction.
